a,b,c,d,e,f,g
HF-1,0.93,0.13,7.00,2.67,4.15,8.56
HF-2,0.93,0.10,6.49,2.27,4.32,8.12
HF-3,0.95,0.05,5.15,1.64,3.63,6.51
